experiment,use_early_stopping,use_dropout,use_weight_decay,use_weighted_loss,use_batchnorm,epochs_run,train_accuracy,valid_accuracy,valid_macro_f1,valid_recall_minor,valid_recall_Center,valid_recall_Donut,valid_recall_Edge-Loc,valid_recall_Edge-Ring,valid_recall_Loc,valid_recall_Near-full,valid_recall_Random,valid_recall_Scratch,valid_recall_none
exp1_baseline,False,False,False,False,False,10,97.75892334698653,81.24232081911262,0.7708584742010702,0.8552122828438616,0.8729388942774006,0.8872180451127819,0.7767068273092369,0.9711579853637538,0.5986078886310905,0.8611111111111112,0.8173076923076923,0.397212543554007,0.7325
exp2_early_stopping,True,False,False,False,False,10,93.79169104739614,82.94880546075085,0.7703372235796668,0.8495986226249385,0.9282250242483027,0.8345864661654135,0.7678714859437751,0.9776151528196297,0.6508120649651972,0.8055555555555556,0.9086538461538461,0.2508710801393728,0.775
exp3_dropout,True,True,False,False,False,10,91.17612638970158,83.0580204778157,0.7288795168807112,0.7973057644110275,0.9253152279340446,0.7669172932330827,0.7421686746987952,0.9896685320705984,0.7041763341067285,0.75,0.875,0.0,0.8241666666666667
exp4_weight_decay,True,True,True,False,False,10,92.72088940901112,84.01365187713311,0.7439094625809406,0.8309328342223079,0.9359844810863239,0.7518796992481203,0.7542168674698795,0.9806284976323719,0.7540603248259861,0.8611111111111112,0.8798076923076923,0.010452961672473868,0.8375
exp5_weighted_loss,True,True,True,True,False,10,72.69748390871855,69.31058020477816,0.6709778291110495,0.8612704303493777,0.9059165858389913,0.7894736842105263,0.6698795180722892,0.8962548428755919,0.22621809744779584,0.9722222222222222,0.8221153846153846,0.5679442508710801,0.465
exp6_batchnorm,True,True,True,True,True,10,70.39204212990052,69.84300341296928,0.6144703110269999,0.8523900563374248,0.8147429679922406,0.9022556390977443,0.6987951807228916,0.8816185966422729,0.12529002320185614,0.9722222222222222,0.6826923076923077,0.027874564459930314,0.7875
